key,congress,number,bill_type,is_alive,current_status,title_without_number
109#house_bill=2290,109,2290,house_bill,False,referred,Family Budget Protection Act of 2005
109#house_bill=2291,109,2291,house_bill,False,referred,Medical Malpractice Relief Act of 2005
109#house_bill=5820,109,5820,house_bill,False,referred,Federal Agency Data Privacy Protection Act
111#house_bill=909,111,909,house_bill,False,referred,Public Diplomacy Resource Centers Act of 2009
109#house_bill=2295,109,2295,house_bill,False,referred,Parental Empowerment Act of 2005
109#house_bill=5825,109,5825,house_bill,False,pass_over_house,Electronic Surveillance Modernization Act
110#senate_bill=1738,110,1738,senate_bill,False,enacted_signed,PROTECT Our Children Act of 2008
110#house_bill=3058,110,3058,house_bill,False,prov_kill_suspensionfailed,Public Land Communities Transition Act of 2007
110#house_bill=3057,110,3057,house_bill,False,referred,Medicare Long-Term Care Patient Safety and Improvement Act of 2007
110#house_bill=3056,110,3056,house_bill,False,pass_over_house,Tax Collection Responsibility Act of 2007
112#house_bill=2165,112,2165,house_bill,False,referred,To repeal the trade adjustment assistance programs under the Trade Act of 1974.
112#house_bill=2461,112,2461,house_bill,False,referred,Physician Pathology Services Continuity Act of 2011
112#house_bill=1704,112,1704,house_bill,False,referred,Annual National Classified School Employee of the Year Award Act
112#house_bill=2466,112,2466,house_bill,False,referred,Small Business Efficiency Act of 2011
112#house_bill=2465,112,2465,house_bill,False,pass_over_house,Federal Workers’ Compensation Modernization and Improvement Act
107#senate_bill=1052,107,1052,senate_bill,False,pass_over_senate,Bipartisan Patient Protection Act
111#house_bill=4286,111,4286,house_bill,False,referred,Restorative Justice in Schools Act of 2009
110#house_bill=2189,110,2189,house_bill,False,referred,Sgt. Jonathan Schulze Military Health Services Improvement Act of 2007
111#house_resolution=16,111,16,house_resolution,False,passed_simpleres,Supporting the goals and ideals of National Life Insurance Awareness Month.
111#house_bill=4287,111,4287,house_bill,False,referred,Enhancing Livability for All Americans Act of 2009
110#house_bill=2183,110,2183,house_bill,False,referred,Commonsense Consumption Act of 2007
110#house_bill=2180,110,2180,house_bill,False,referred,For the relief of Adela and Darryl Bailor.
112#house_bill=1700,112,1700,house_bill,False,referred,Medicare Patient Empowerment Act
110#house_bill=2184,110,2184,house_bill,False,referred,To amend the Medicare Prescription Drug, Improvement, and Modernization Act of 2003 to expand comparative effectiveness research and to increase funding for such research to improve the value of health care.
110#house_bill=2185,110,2185,house_bill,False,pass_over_house,To amend the Tropical Forest Conservation Act of 1998 to provide debt relief to developing countries that take action to protect tropical forests and coral reefs and associated coastal marine ecosystems, to reauthorize such Act through fiscal year 2010, and for other purposes.
111#house_resolution=1206,111,1206,house_resolution,False,passed_simpleres,Remembering the victims of the attack on the Alfred P. Murrah Federal Building in Oklahoma City, Oklahoma.
111#house_resolution=1207,111,1207,house_resolution,False,referred,Recognizing the National Museum of World War II Aviation in Colorado Springs, Colorado, as America’s National World War II Aviation Museum.
111#house_resolution=1200,111,1200,house_resolution,False,referred,Expressing support for designation of March as Malignant Hyperthermia Awareness and Training Month.
111#house_resolution=1201,111,1201,house_resolution,False,referred,Recognizing the 175th anniversary of Old National Bank based in Evansville, Indiana.
